Population,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,38,60025,47132,369657,180543,293998,311057,326994,258688,758653,1200006,1418521,266428,186999,159597,139793,161776,237170,304404,1199987,1480677,1400742,945531,1307176,1705912,1971671,2454448
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,3000,3000,4720,4926,30,22332,439720,674,5202,85,122,92,92,93,99,93,91,99,106,7560,7767,8032,8377,7811,7321
Algeria,,,,,,,,,,,,,,,,,,,,500,,,,,21000,39580,52000,52000,52000,52000,167000,167000,167000,167000,174160,167220,167000,170000,246973,169110,169174,219384,219067,219073,214594,192490,173148,189970,165290,169969,169531,169239,169036,169054,94407,95121,95734,94991,94290,94448,94964,95876,96894,101381,101634,100987,100595
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,10000,235000,249190,146550,75000,91700,96280,98880,99130,91520,92250,92150,90400,12899,11557,13122,11002,99027,314994,11807,9969,9366,10615,13075,271023,215153,215180,14390,14903,14914,14678,14990,15895,33455,19396,19391,43750,43831,45686,45700,45708,71251
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,0,,,1,0,15,4,0
Argentina,,,,,,,,,,,,,,,,,,,32000,35000,34000,33000,37000,47000,46000,41010,35000,26920,27610,26520,26570,11630,11500,11500,15300,14000,13790,13968,13694,13285,12339,12085,12018,12879,10619,10526,10522,2275,2370,3671,3939,4010,3864,3914,3901,4045,4350,3580,3986,4223,4578,5409,4278,4359,4293,7465,64405
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000,411000,406039,334450,290950,291000,310012,296216,280591,264338,247553,239325,235303,219620,113792,4664,4125,85877,85844,85892,8772,13990,17917,19696,18480,18803
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,6,7,5,2,5,17
Australia,180000,,,,,,,,,,,,,,40000,40000,44000,43000,42000,42000,,,,,,,,304000,304000,304000,317002,317000,317000,89000,89000,85900,87600,90970,97915,97915,53117,52604,53705,57648,62196,67367,66074,69746,68368,72010,69477,67019,59390,68508,66794,70384,23695,23089,24904,25580,29361,41797,48408,57101,57594,71778,96461
Austria,282000,238200,215200,150000,110000,140000,68000,53000,44000,39000,34000,30000,27000,25000,25000,24500,24000,24000,25000,25300,25000,25000,25000,25000,20000,25000,20000,20000,25000,15525,17899,34963,37298,39099,40534,41176,41228,39830,39405,34938,34508,62355,57692,40737,34385,93116,88394,81094,86198,27080,30093,44659,50451,56811,62770,68967,69993,75013,72557,68725,72046,74712,78956,92583,153263,170596,172523
